peak_id,peak_name,host_contries,height_m,height_ft,location,region,climb_status,is_open,is_unlisted,is_trekking,trek_year,first_asc_yr,first_asc_season,first_asc_date,countries,first_summiters
HERZ,Herzog Peak,Nepal only,7555,24787,Annapurna,Annapurna-Damodar-Peri,Climbed,1,0,0,0,0,All,Unknown,Unknown,Climbed?
HIME,Himalchuli East,Nepal only,7893,25896,Manaslu/Mansiri,Manaslu-Ganesh,Climbed,1,0,0,0,1960,Spring,May 24,Japan,"Masahiro Harada, Hisashi Tanabe"
HIMJ,Himjung,Nepal only,7092,23268,Peri,Annapurna-Damodar-Peri,Climbed,1,0,0,20,2012,Autumn,Oct 12,S Korea,"Kim Chang-Ho, An Chi-Young"
HIML,Himlung Himal,Nepal only,7126,23379,Peri,Annapurna-Damodar-Peri,Climbed,1,0,0,0,1992,Spring,Oct 03,"Japan, Nepal","Osamu Hanai, Akio Koizumi, Nima Sherpa"
HIMN,Himalchuli North,Nepal only,7331,24052,Manaslu/Mansiri,Manaslu-Ganesh,Climbed,1,0,0,0,1985,Autumn,Oct 27,"S Korea, Nepal","Lee Jae-Hong, Ang Pasang Sherpa, Jangbu Sherpa, Lhakpa Norbu Sherpa, Pasang Dawa Sherpa"
HIMW,Himalchuli West,Nepal only,7540,24738,Manaslu/Mansiri,Manaslu-Ganesh,Climbed,1,0,0,0,1978,Spring,May 07,Japan,"Yoshio Ogata, Kazuhiro Sugeno"
HIUP,Hiunchuli,Nepal only,6434,21109,Annapurna,Annapurna-Damodar-Peri,Climbed,0,0,1,1978,1971,Autumn,Oct 10,USA,"Craig Anderson, Peter Cross, Jim Richards, John Skow, Lane Smith"
HMLE,Himlung East,Nepal & China,6932,22743,Peri,Annapurna-Damodar-Peri,Climbed,1,0,0,0,2017,Spring,May 08,"France, Nepal","Paulo Grobel, Isabelle Guillaume, Rajan Lama Bhote, Jangbu Sherpa"
HNKU,Hongku Chuli,Nepal only,6833,22418,Khumbu,Khumbu-Rolwaling-Makalu,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed
HONG,Hongde,Nepal only,6556,21509,Mukut/Mustang,Dhaulagiri-Mukut,Climbed,1,0,0,0,1962,Spring,May 08,"Japan, Nepal","Shijiro Ishizaka, Zenkichi Hirayama, Takashi Miyahara, Ang Dawa Sherpa, Ang Temba Sherpa"
HONK,Hongku,Nepal only,6764,22192,Khumbu,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,2015,Autumn,Oct 09,France,"Alberto Inurrategi Iriarte, Juan Vallejo Llanos, Miguel Zabalza Azkona"
HUGO,Hulang Go,Nepal & India,6687,21939,Peri,Annapurna-Damodar-Peri,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed
HUNK,Hunku,Nepal only,6119,20075,Khumbu,Khumbu-Rolwaling-Makalu,Climbed,0,1,0,0,2012,Autumn,Nov 11,UK,"Nick Bullock, Andy Houseman"
IMJA,Imjatse,Nepal only,6165,20226,Khumbu,Khumbu-Rolwaling-Makalu,Climbed,0,0,1,1978,1956,Spring,Unknown,"Switzerland, Nepal","Hansrudolf Von Gunten, 2 unknown Sherpas"
JABR,Jabou Ri,Nepal only,6166,20230,Rolwaling,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,2015,Autumn,Sep 15,USA,"Ryan Waters, Eric Larsen"
JAGD,Jagdula,Nepal only,5761,18901,Kanjiroba,Far West-Kanjiroba,Climbed,1,0,0,0,2013,Spring,Apr 30,France,Francois Damilano
JANE,Jannu East,Nepal only,7460,24475,Kangchenjunga/Simhalila,Kangchenjunga-Janak,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unknown
JANK,Janak Chuli,Nepal & China,7041,23100,Janak/Ohmi Kangri,Kangchenjunga-Janak,Climbed,1,0,0,0,2006,Spring,May 06,Slovenia,"Andrej Stremfelj, Rok Zalokar"
JANU,Jannu,Nepal only,7711,25299,Kangchenjunga/Simhalila,Kangchenjunga-Janak,Climbed,1,0,0,0,1962,Spring,Apr 27,"France, Nepal","Rene Desmaison, Paul Keller, Robert Paragot, Gyalzen Mitchung Sherpa"
JARK,Jarkya,Nepal & China,6473,21237,Manaslu/Mansiri,Manaslu-Ganesh,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed
JASG,Jasemba Goth,Nepal only,6730,22080,Khumbu,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,1964,Spring,Apr 08,W Germany,"Georg Huber, Fritz Stammberger"
JETH,Jethi Bahurani,Nepal only,6850,22474,Api/Byas Risi/Guras,Far West-Kanjiroba,Climbed,1,0,0,0,1978,Spring,Apr 27,Japan,"Kazuo Mitsui, Nobuhito Morota, Hideki Yoshida"
JING,Jinjang,Nepal only,6111,20049,Damodar,Annapurna-Damodar-Peri,Climbed,1,0,0,0,0,All,Unknown,Unknown,Climbed by Japanese in April 1983?
JOBO,Jobo Rinjang,Nepal only,6778,22238,Rolwaling,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,2009,Spring,Apr 22,USA,"Joe Puryear, David Gottlieb"
JOMS,Jomsom Himal,Nepal only,6335,20784,Damodar,Annapurna-Damodar-Peri,Climbed,1,0,0,0,2003,Autumn,Nov 04,"France, Nepal","Hugues De Varax, Yves Exbrayat, Frederique Gaume, Paulo Grobel, Mingma Temba Sherpa"
JONG,Jongsang,"Nepal, China & India",7462,24482,Jongsang,Kangchenjunga-Janak,Climbed,1,0,0,0,1930,Spring,Jun 03,"Germany, Austria","Hermann Hoerlin, Erwin Schneider"
JUNC,Junction Peak,Nepal only,7133,23402,Dhaulagiri,Dhaulagiri-Mukut,Unclimbed,0,1,0,0,0,All,Unknown,Unknown,Unclimbed
JYAC,Jyachhung,Nepal & China,6338,20794,Api/Byas Risi/Guras,Far West-Kanjiroba,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed
KABD,Kabru Dome,India only,6600,21654,Kangchenjunga/Simhalila,Kangchenjunga-Janak,Climbed,0,1,0,0,1982,Autumn,Sep 24,India,"Mahabir Thakur, Tshering Lobsang, K. N. Singh, Gautam Dutta, P. Bhotia, Umeshari Devi"
KABN,Kabru North,Nepal & India,7338,24075,Kangchenjunga/Simhalila,Kangchenjunga-Janak,Climbed,0,1,0,0,1935,Autumn,Nov 18,UK,C. R. (Reggie) Cooke
